description,industry,level,size,line_code,value,Unit,Footnotes
Number of major suppliers overseas zero,Wholesale trade,1,total,C190201,540,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas zero,Machinery  equipment wholesaling,2,total,C190201,132,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas zero,Other wholesale trade,2,total,C190201,408,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas zero,Retail trade,1,total,C190201,2223,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas zero,Accommodation  food services,1,total,C190201,5019,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas zero,Transport postal  warehousing,1,total,C190201,900,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas zero,Information media  telecommunications,1,total,C190201,99,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas zero,Publishing,2,total,C190201,42,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas zero,Motion picture,2,total,C190201,42,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas zero,Telecommunications,2,total,C190201,12,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas zero,Financial  insurance services,1,total,C190201,303,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas zero,Finance,2,total,C190201,99,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas zero,Insurance,2,total,C190201,3,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas zero,Auxiliary,2,total,C190201,207,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas zero,Rental hiring  real estate services,1,total,C190201,618,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas zero,Professional scientific  technical services,1,total,C190201,2502,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas zero,Computer systems design,2,total,C190201,192,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas zero,Other professional scientific,2,total,C190201,2313,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas zero,Administrative  support services,1,total,C190201,1029,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas zero,Education  training,1,total,C190201,798,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas zero,Health care  social assistance,1,total,C190201,1740,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas zero,Arts  recreation services,1,total,C190201,222,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas zero,Other services,1,total,C190201,762,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas zero,total,0,total,C190201,26958,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas 15,total,0,619 employees,C190202,8574,Number of businesses,1 and 2 and 3 and 4 and 6
Number of major suppliers overseas 15,total,0,2049 employees,C190202,2568,Number of businesses,1 and 2 and 3 and 4 and 6
Number of major suppliers overseas 15,total,0,5099 employees,C190202,792,Number of businesses,1 and 2 and 3 and 4 and 6
Number of major suppliers overseas 15,total,0,100 employees,C190202,582,Number of businesses,1 and 2 and 3 and 4 and 6
Number of major suppliers overseas 15,Agriculture forestry  fishing,1,total,C190202,546,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas 15,Agriculture,2,total,C190202,336,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas 15,Commercial fishing,2,total,C190202,15,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas 15,Forestry  logging,2,total,C190202,33,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas 15,Agriculture forestry  fishing support services,2,total,C190202,162,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas 15,Mining,1,total,C190202,36,Number of businesses,1 and 2 and 3 and 5 and 6
Number of major suppliers overseas 15,Manufacturing,1,total,C190202,2130,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas 15,Food beverage  tobacco,2,total,C190202,474,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas 15,Textile clothing footwear  leather,2,total,C190202,147,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas 15,Wood  paper product,2,total,C190202,153,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas 15,Printing publishing  recorded media,2,total,C190202,99,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas 15,Petroleum coal chemical  associated product,2,total,C190202,195,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas 15,Nonmetallic mineral product,2,total,C190202,81,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas 15,Metal product,2,total,C190202,387,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas 15,Transport and industrial machinery  equipment,2,total,C190202,366,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas 15,Other machinery  equipment,2,total,C190202,96,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas 15,Other manufacturing,2,total,C190202,135,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas 15,Electricity gas water  waste services,1,total,C190202,69,Number of businesses,1 and 2 and 3 and 5 and 6
Number of major suppliers overseas 15,Construction,1,total,C190202,1371,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas 15,Wholesale trade,1,total,C190202,936,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas 15,Machinery  equipment wholesaling,2,total,C190202,339,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas 15,Other wholesale trade,2,total,C190202,597,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas 15,Retail trade,1,total,C190202,1545,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas 15,Accommodation  food services,1,total,C190202,1011,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas 15,Transport postal  warehousing,1,total,C190202,381,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas 15,Information media  telecommunications,1,total,C190202,180,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas 15,Publishing,2,total,C190202,66,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas 15,Motion picture,2,total,C190202,57,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas 15,Telecommunications,2,total,C190202,57,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas 15,Financial  insurance services,1,total,C190202,201,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas 15,Finance,2,total,C190202,51,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas 15,Insurance,2,total,C190202,15,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas 15,Auxiliary,2,total,C190202,138,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas 15,Rental hiring  real estate services,1,total,C190202,294,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas 15,Professional scientific  technical services,1,total,C190202,1746,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas 15,Computer systems design,2,total,C190202,450,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas 15,Other professional scientific,2,total,C190202,1302,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas 15,Administrative  support services,1,total,C190202,441,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas 15,Education  training,1,total,C190202,273,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas 15,Health care  social assistance,1,total,C190202,744,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas 15,Arts  recreation services,1,total,C190202,243,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas 15,Other services,1,total,C190202,360,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas 15,total,0,total,C190202,12516,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas 620,total,0,619 employees,C190203,1932,Number of businesses,1 and 2 and 3 and 4 and 6
Number of major suppliers overseas 620,total,0,2049 employees,C190203,1119,Number of businesses,1 and 2 and 3 and 4 and 6
Number of major suppliers overseas 620,total,0,5099 employees,C190203,444,Number of businesses,1 and 2 and 3 and 4 and 6
Number of major suppliers overseas 620,total,0,100 employees,C190203,390,Number of businesses,1 and 2 and 3 and 4 and 6
Number of major suppliers overseas 620,Agriculture forestry  fishing,1,total,C190203,87,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas 620,Agriculture,2,total,C190203,60,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas 620,Commercial fishing,2,total,C190203,3,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas 620,Forestry  logging,2,total,C190203,9,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas 620,Agriculture forestry  fishing support services,2,total,C190203,15,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas 620,Mining,1,total,C190203,18,Number of businesses,1 and 2 and 3 and 5 and 6
Number of major suppliers overseas 620,Manufacturing,1,total,C190203,756,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas 620,Food beverage  tobacco,2,total,C190203,141,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas 620,Textile clothing footwear  leather,2,total,C190203,60,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas 620,Wood  paper product,2,total,C190203,69,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas 620,Printing publishing  recorded media,2,total,C190203,15,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas 620,Petroleum coal chemical  associated product,2,total,C190203,111,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas 620,Nonmetallic mineral product,2,total,C190203,18,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas 620,Metal product,2,total,C190203,84,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas 620,Transport and industrial machinery  equipment,2,total,C190203,111,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas 620,Other machinery  equipment,2,total,C190203,78,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas 620,Other manufacturing,2,total,C190203,69,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas 620,Electricity gas water  waste services,1,total,C190203,15,Number of businesses,1 and 2 and 3 and 5 and 6
Number of major suppliers overseas 620,Construction,1,total,C190203,174,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas 620,Wholesale trade,1,total,C190203,957,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas 620,Machinery  equipment wholesaling,2,total,C190203,261,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas 620,Other wholesale trade,2,total,C190203,693,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas 620,Retail trade,1,total,C190203,582,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas 620,Accommodation  food services,1,total,C190203,48,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas 620,Transport postal  warehousing,1,total,C190203,114,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas 620,Information media  telecommunications,1,total,C190203,96,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas 620,Publishing,2,total,C190203,36,Number of businesses,1 and 2 and 3 and 6
Number of major suppliers overseas 620,Motion picture,2,total,C190203,27,Number of businesses,1 and 2 and 3 and 6
